row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class
1,23/12/2022,Jewelry,true,3172376751536,15.03,0.00,691447.16,Essential
2,23/12/2022,Clothing,false,3047405612279,0.00,2173.29,693620.45,Essential
3,23/12/2022,Kids,true,3955134731593,2460.27,0.00,691160.18,Non-Essential
4,23/12/2022,Baby,true,3890881898497,891.91,0.00,690268.27,Non-important
5,23/12/2022,Home,true,3296868927279,1631.99,0.00,688636.28,Essential
6,23/12/2022,Toys,false,3056441772155,0.00,689.40,689325.68,Essential
7,23/12/2022,Shoes,true,3699479745208,4989.67,0.00,684336.01,Non-important
8,23/12/2022,Music,true,3523751436703,4198.53,0.00,680137.48,Essential
9,23/12/2022,Shoes,false,3746575115785,0.00,643.93,680781.41,Non-Essential
10,24/12/2022,Outdoors,true,3432664137502,3520.52,0.00,677260.89,Non-important
11,24/12/2022,Baby,true,3305347649067,3511.07,0.00,673749.82,Non-important
12,24/12/2022,Books,false,3202285334852,0.00,1241.94,674991.76,Important
13,24/12/2022,Games,false,3784996571812,0.00,488.00,675479.76,Non-Essential
14,24/12/2022,Beauty,true,3613455213765,1275.39,0.00,674204.37,Non-important
15,25/12/2022,Music,true,3703220364540,1538.40,0.00,672665.97,Essential
16,25/12/2022,Tools,true,3443367651780,2774.93,0.00,669891.04,Important
17,25/12/2022,Kids,false,3591045528851,0.00,2669.83,672560.87,Non-Essential
18,25/12/2022,Automotive,false,3778261626048,0.00,521.14,673082.01,Essential
19,25/12/2022,Tools,false,3442747352790,0.00,2641.67,675723.68,Important
20,25/12/2022,Health,false,3656371262961,0.00,210.67,675934.35,Essential
21,25/12/2022,Shoes,true,3948728892432,3203.20,0.00,672731.15,Non-Essential
22,25/12/2022,Computers,true,3231394930144,4658.91,0.00,668072.24,Non-important
23,25/12/2022,Music,false,3718594820389,0.00,2174.41,670246.65,Non-Essential
24,25/12/2022,Tools,false,3695980821675,0.00,1757.30,672003.95,Non-important
25,25/12/2022,Outdoors,true,3643505122042,2291.06,0.00,669712.89,Essential
26,26/12/2022,Beauty,false,3054120243934,0.00,810.50,670523.39,Non-Essential
27,26/12/2022,Clothing,true,3021911507517,21.66,0.00,670501.73,Essential
28,26/12/2022,Clothing,true,3526559521076,1747.41,0.00,668754.32,Non-important
29,26/12/2022,Music,false,3042229506209,0.00,1441.80,670196.12,Important
30,26/12/2022,Beauty,false,3145881822372,0.00,2708.31,672904.43,Non-Essential
31,26/12/2022,Jewelry,false,3090703241886,0.00,1598.00,674502.43,Non-important
32,26/12/2022,Clothing,false,3539894292892,0.00,1387.38,675889.81,Non-important
33,26/12/2022,Shoes,false,3040460257420,0.00,1913.70,677803.51,Essential
34,26/12/2022,Beauty,false,3206384519878,0.00,163.40,677966.91,Non-important
35,26/12/2022,Toys,true,3166603412596,2664.12,0.00,675302.79,Important
36,26/12/2022,Jewelry,true,3460086382586,1591.17,0.00,673711.62,Essential
37,26/12/2022,Movies,true,3600105840533,595.13,0.00,673116.49,Non-Essential
38,26/12/2022,Tools,false,3165161379646,0.00,344.77,673461.26,Essential
39,26/12/2022,Industrial,false,3172499171529,0.00,89.54,673550.80,Essential
40,26/12/2022,Garden,false,3616974696680,0.00,2193.78,675744.58,Non-important
41,26/12/2022,Jewelry,true,3424046824806,3675.07,0.00,672069.51,Non-Essential
42,27/12/2022,Books,false,3836933938749,0.00,689.50,672759.01,Important
43,27/12/2022,Outdoors,true,3887087039257,3822.30,0.00,668936.71,Important
44,27/12/2022,Kids,false,3455167212741,0.00,979.47,669916.18,Essential
45,27/12/2022,Computers,false,3607449326978,0.00,2049.50,671965.68,Non-Essential
46,27/12/2022,Baby,false,3295135229796,0.00,496.38,672462.06,Non-Essential
47,27/12/2022,Books,true,3029839882174,2930.53,0.00,669531.53,Important
48,27/12/2022,Kids,true,3080735963132,616.72,0.00,668914.81,Essential
49,27/12/2022,Automotive,true,3485424496036,2938.71,0.00,665976.10,Essential
50,27/12/2022,Games,false,3366641986085,0.00,758.37,666734.47,Essential
51,28/12/2022,Health,false,3351895786633,0.00,434.96,667169.43,Essential
52,28/12/2022,Shoes,true,3712996801805,225.40,0.00,666944.03,Non-important
53,28/12/2022,Tools,false,3464553491425,0.00,1828.69,668772.72,Important
54,28/12/2022,Books,false,3386119569582,0.00,894.08,669666.80,Non-Essential
55,28/12/2022,Electronics,false,3279379477642,0.00,2553.41,672220.21,Non-important
56,28/12/2022,Music,true,3033525883094,2811.91,0.00,669408.30,Essential
57,28/12/2022,Music,true,3766592880793,1225.64,0.00,668182.66,Non-important
58,28/12/2022,Sports,true,3271671930630,4951.88,0.00,663230.78,Non-important
59,28/12/2022,Movies,false,3930401454533,0.00,1158.56,664389.34,Essential
60,28/12/2022,Kids,false,3364021622929,0.00,714.23,665103.57,Essential
61,29/12/2022,Shoes,true,3245521795987,3231.97,0.00,661871.60,Important
