row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class
1,25/12/2022,Home,true,1216711285639,4305.53,0.00,366736.40,Important
2,25/12/2022,Movies,false,1628188928766,0.00,4931.10,371667.50,Non-important
3,25/12/2022,Tools,false,1845200544154,0.00,1068.89,372736.39,Essential
4,25/12/2022,Computers,true,1158881602293,3224.64,0.00,369511.75,Non-important
5,25/12/2022,Baby,true,1155313314792,3929.41,0.00,365582.34,Non-Essential
6,25/12/2022,Outdoors,true,1964064057056,4919.93,0.00,360662.41,Important
7,25/12/2022,Shoes,true,1410165680332,2472.18,0.00,358190.23,Essential
8,25/12/2022,Shoes,true,1787909248407,4627.36,0.00,353562.87,Non-Essential
9,26/12/2022,Movies,true,1111178882578,4093.32,0.00,349469.55,Non-Essential
10,26/12/2022,Jewelry,true,1901839865372,4615.39,0.00,344854.16,Important
11,26/12/2022,Baby,false,1149849741213,0.00,4208.60,349062.76,Non-important
12,26/12/2022,Games,false,1061688235863,0.00,4710.66,353773.42,Important
13,26/12/2022,Electronics,false,1515784777170,0.00,3961.57,357734.99,Non-important
14,26/12/2022,Jewelry,true,1946307926887,4759.78,0.00,352975.21,Non-Essential
15,26/12/2022,Home,false,1910853350499,0.00,4451.46,357426.67,Non-Essential
16,26/12/2022,Music,false,1761503465919,0.00,2606.75,360033.42,Important
17,26/12/2022,Computers,true,1427324837447,2328.02,0.00,357705.40,Non-Essential
18,27/12/2022,Toys,true,1886038371412,2444.28,0.00,355261.12,Essential
19,27/12/2022,Shoes,true,1271566407268,1713.71,0.00,353547.41,Non-important
20,27/12/2022,Books,true,1530899363843,1166.56,0.00,352380.85,Important
21,27/12/2022,Home,false,1945203778016,0.00,2347.74,354728.59,Non-important
22,27/12/2022,Books,true,1509229677958,1377.66,0.00,353350.93,Important
23,27/12/2022,Automotive,false,1822776952425,0.00,1032.86,354383.79,Important
24,27/12/2022,Music,false,1333215835490,0.00,1741.08,356124.87,Non-important
25,27/12/2022,Sports,false,1600412225837,0.00,332.84,356457.71,Non-Essential
26,27/12/2022,Games,false,1393813692289,0.00,3913.05,360370.76,Non-Essential
27,27/12/2022,Movies,false,1901544986917,0.00,1644.06,362014.82,Important
28,27/12/2022,Garden,false,1083092453533,0.00,3136.60,365151.42,Non-Essential
29,27/12/2022,Beauty,true,1582489008714,2772.05,0.00,362379.37,Essential
30,27/12/2022,Jewelry,true,1832928677427,3216.62,0.00,359162.75,Non-Essential
31,28/12/2022,Grocery,false,1478722462634,0.00,747.41,359910.16,Non-Essential
32,28/12/2022,Beauty,false,1391887194180,0.00,2466.87,362377.03,Non-important
33,28/12/2022,Automotive,false,1358791895777,0.00,1215.04,363592.07,Important
34,28/12/2022,Music,false,1600186255376,0.00,3660.92,367252.99,Non-important
35,28/12/2022,Baby,false,1078274897799,0.00,4936.88,372189.87,Important
36,28/12/2022,Home,true,1214682968682,2340.85,0.00,369849.02,Non-important
37,28/12/2022,Clothing,true,1891792734290,3290.69,0.00,366558.33,Non-important
38,28/12/2022,Beauty,true,1886603388091,1198.19,0.00,365360.14,Non-important
39,28/12/2022,Movies,true,1257463513404,4138.86,0.00,361221.28,Essential
40,28/12/2022,Music,true,1134116591041,336.56,0.00,360884.72,Non-Essential
41,28/12/2022,Garden,true,1695327523713,3854.66,0.00,357030.06,Non-Essential
42,28/12/2022,Computers,true,1440121417025,2815.28,0.00,354214.78,Non-important
43,29/12/2022,Sports,true,1633489556058,3771.93,0.00,350442.85,Important
44,29/12/2022,Baby,true,1018121992677,3848.96,0.00,346593.89,Non-Essential
45,29/12/2022,Outdoors,true,1612232915050,2033.23,0.00,344560.66,Essential
46,29/12/2022,Computers,true,1138054035843,3208.47,0.00,341352.19,Important
47,29/12/2022,Industrial,true,1471112235020,2394.72,0.00,338957.47,Important
48,29/12/2022,Grocery,true,1659662908707,2409.25,0.00,336548.22,Important
49,29/12/2022,Automotive,true,1808385672309,3730.59,0.00,332817.63,Non-Essential
50,29/12/2022,Kids,true,1759160954543,676.03,0.00,332141.60,Important
51,29/12/2022,Grocery,true,1228215694230,2335.23,0.00,329806.37,Important
52,29/12/2022,Grocery,true,1032373825595,3005.96,0.00,326800.41,Important
53,29/12/2022,Grocery,true,1227606813167,1019.34,0.00,325781.07,Important
54,29/12/2022,Games,false,1657204363677,0.00,848.65,326629.72,Non-important
55,29/12/2022,Baby,false,1673351227407,0.00,3840.11,330469.83,Essential
56,30/12/2022,Movies,true,1238173367124,3214.33,0.00,327255.50,Non-Essential
57,30/12/2022,Garden,true,1256708972104,2690.57,0.00,324564.93,Important
58,30/12/2022,Kids,true,1637385288453,1821.74,0.00,322743.19,Non-important
59,30/12/2022,Clothing,false,1271212694279,0.00,3437.77,326180.96,Non-Essential
60,30/12/2022,Books,true,1248519481700,2355.00,0.00,323825.96,Essential
61,30/12/2022,Grocery,false,1183503730736,0.00,1145.35,324971.31,Non-Essential
62,30/12/2022,Automotive,false,1311726825901,0.00,3555.11,328526.42,Non-important
63,30/12/2022,Beauty,true,1566372447836,3620.33,0.00,324906.09,Important
64,30/12/2022,Sports,false,1918880348648,0.00,2647.61,327553.70,Non-Essential
65,30/12/2022,Grocery,true,1503183792831,3574.59,0.00,323979.11,Non-important
66,31/12/2022,Baby,false,1866577674451,0.00,1693.23,325672.34,Essential
67,31/12/2022,Movies,true,1169322313677,975.11,0.00,324697.23,Non-Essential
68,31/12/2022,Books,false,1827104923933,0.00,4898.27,329595.50,Essential
69,31/12/2022,Clothing,false,1632346197886,0.00,2996.52,332592.02,Non-important
70,31/12/2022,Electronics,true,1261259208539,4039.86,0.00,328552.16,Essential
71,31/12/2022,Industrial,false,1149007243478,0.00,2599.15,331151.31,Essential
72,31/12/2022,Electronics,false,1447696653968,0.00,4597.82,335749.13,Non-important
73,31/12/2022,Electronics,false,1167397396882,0.00,4495.36,340244.49,Important
74,31/12/2022,Grocery,true,1718528834755,449.98,0.00,339794.51,Essential
75,31/12/2022,Health,true,1751025592804,4025.53,0.00,335768.98,Non-Essential
76,31/12/2022,Outdoors,false,1540073735547,0.00,3865.86,339634.84,Non-Essential
77,31/12/2022,Grocery,false,1717262253415,0.00,2299.55,341934.39,Non-Essential
78,31/12/2022,Shoes,false,1714145035231,0.00,1546.42,343480.81,Non-important
79,31/12/2022,Industrial,true,1490360538691,4298.32,0.00,339182.49,Important
80,31/12/2022,Electronics,true,1281807723542,4871.63,0.00,334310.86,Important
81,01/01/2023,Automotive,true,1194306271601,1332.71,0.00,332978.15,Non-important
82,01/01/2023,Electronics,false,1432859331639,0.00,773.22,333751.37,Important
83,01/01/2023,Music,false,1334708259188,0.00,4746.36,338497.73,Essential
84,01/01/2023,Jewelry,false,1656967103721,0.00,1274.81,339772.54,Non-important
85,01/01/2023,Grocery,false,1639851096426,0.00,211.35,339983.89,Non-important
86,01/01/2023,Baby,false,1231310021210,0.00,2323.77,342307.66,Important
87,01/01/2023,Music,true,1785500168291,4616.63,0.00,337691.03,Essential
88,01/01/2023,Games,false,1213005717332,0.00,4759.59,342450.62,Non-important
89,01/01/2023,Shoes,true,1385830127297,2166.71,0.00,340283.91,Essential
90,01/01/2023,Kids,false,1893065931744,0.00,4570.27,344854.18,Non-Essential
91,01/01/2023,Movies,false,1300086563511,0.00,4474.94,349329.12,Non-important
92,02/01/2023,Music,true,1288104832546,3382.48,0.00,345946.64,Important
93,02/01/2023,Music,false,1673433409918,0.00,2521.66,348468.30,Essential
94,02/01/2023,Electronics,true,1663731648489,3860.92,0.00,344607.38,Non-Essential
95,02/01/2023,Toys,true,1309323608707,2766.53,0.00,341840.85,Non-Essential
96,02/01/2023,Outdoors,true,1654982258739,1964.92,0.00,339875.93,Essential
97,02/01/2023,Electronics,true,1889988388729,880.57,0.00,338995.36,Essential
98,02/01/2023,Home,true,1439734087787,3398.96,0.00,335596.40,Non-Essential
99,02/01/2023,Automotive,true,1484581392252,1650.74,0.00,333945.66,Important
100,02/01/2023,Games,true,1453073220555,4053.93,0.00,329891.73,Non-important
101,02/01/2023,Garden,false,1502745278152,0.00,3169.71,333061.44,Non-Essential
102,03/01/2023,Beauty,true,1364196271047,853.39,0.00,332208.05,Important
103,03/01/2023,Toys,true,1408161244833,2600.56,0.00,329607.49,Non-Essential
104,03/01/2023,Automotive,true,1188522627376,1595.55,0.00,328011.94,Essential
105,03/01/2023,Electronics,true,1188098393559,22.59,0.00,327989.35,Non-important
106,03/01/2023,Grocery,true,1379768534678,2448.91,0.00,325540.44,Non-important
107,03/01/2023,Beauty,false,1230552873404,0.00,2029.44,327569.88,Non-important
108,03/01/2023,Toys,true,1846125166715,1411.61,0.00,326158.27,Important
109,03/01/2023,Music,true,1631990741532,4998.89,0.00,321159.38,Non-important
110,03/01/2023,Music,false,1461091295372,0.00,4762.03,325921.41,Non-Essential
111,03/01/2023,Baby,true,1040004469347,4591.68,0.00,321329.73,Essential
112,03/01/2023,Games,false,1107189126534,0.00,591.84,321921.57,Essential
113,03/01/2023,Beauty,true,1386805672134,2422.08,0.00,319499.49,Essential
114,04/01/2023,Kids,true,1668577407752,3646.98,0.00,315852.51,Essential
115,04/01/2023,Shoes,false,1348658380106,0.00,1930.73,317783.24,Non-Essential
116,04/01/2023,Garden,false,1990893085882,0.00,196.45,317979.69,Non-Essential
117,04/01/2023,Industrial,true,1217474410385,387.95,0.00,317591.74,Essential
118,04/01/2023,Jewelry,true,1090914120470,2201.60,0.00,315390.14,Essential
119,04/01/2023,Garden,false,1127774834594,0.00,1236.30,316626.44,Essential
120,04/01/2023,Shoes,true,1749182004580,1120.49,0.00,315505.95,Non-important
121,04/01/2023,Garden,false,1084147676159,0.00,715.20,316221.15,Non-important
122,04/01/2023,Grocery,true,1713773539918,1606.30,0.00,314614.85,Essential
123,04/01/2023,Sports,true,1927853784163,2532.17,0.00,312082.68,Essential
124,04/01/2023,Industrial,true,1406688514780,3828.51,0.00,308254.17,Essential
125,04/01/2023,Outdoors,false,1657197813833,0.00,1088.14,309342.31,Essential
126,05/01/2023,Clothing,true,1799631306396,679.44,0.00,308662.87,Non-important
127,05/01/2023,Grocery,false,1123204772104,0.00,4701.31,313364.18,Essential
128,05/01/2023,Home,false,1223070022979,0.00,1103.69,314467.87,Important
129,05/01/2023,Toys,true,1752184386779,770.89,0.00,313696.98,Non-important
130,05/01/2023,Outdoors,false,1452518574120,0.00,3827.60,317524.58,Non-important
131,05/01/2023,Home,false,1258136962179,0.00,4056.56,321581.14,Essential
132,05/01/2023,Kids,false,1910394744699,0.00,2673.23,324254.37,Essential
133,05/01/2023,Shoes,false,1594853780377,0.00,3966.80,328221.17,Non-important
134,05/01/2023,Movies,true,1995246108893,1421.48,0.00,326799.69,Non-important
135,06/01/2023,Grocery,true,1902077168219,1234.36,0.00,325565.33,Important
136,06/01/2023,Jewelry,false,1471391289645,0.00,2032.72,327598.05,Essential
137,06/01/2023,Industrial,false,1600335973308,0.00,1479.95,329078.00,Non-important
138,06/01/2023,Baby,false,1738976206203,0.00,2931.08,332009.08,Essential
139,06/01/2023,Home,true,1218815897928,4783.75,0.00,327225.33,Non-Essential
140,06/01/2023,Electronics,true,1996677474732,611.17,0.00,326614.16,Non-Essential
141,06/01/2023,Health,false,1365835078015,0.00,19.39,326633.55,Non-important
142,06/01/2023,Grocery,true,1123590614780,90.89,0.00,326542.66,Non-Essential
143,06/01/2023,Baby,false,1850965991702,0.00,410.47,326953.13,Essential
144,06/01/2023,Home,true,1535970797490,2473.78,0.00,324479.35,Non-Essential
145,06/01/2023,Outdoors,false,1142868459139,0.00,2095.13,326574.48,Essential
146,06/01/2023,Shoes,false,1314357367970,0.00,837.65,327412.13,Non-Essential
147,06/01/2023,Outdoors,false,1929328346058,0.00,153.27,327565.40,Essential
148,07/01/2023,Movies,false,1884898818261,0.00,141.09,327706.49,Essential
149,07/01/2023,Tools,false,1269797556286,0.00,3953.53,331660.02,Non-important
150,07/01/2023,Industrial,true,1914000998589,3614.44,0.00,328045.58,Essential
151,07/01/2023,Health,false,1564492273898,0.00,3582.79,331628.37,Essential
152,07/01/2023,Automotive,false,1191933754213,0.00,4254.32,335882.69,Important
153,07/01/2023,Kids,true,1065083475677,2339.12,0.00,333543.57,Non-important
154,07/01/2023,Music,false,1305045959734,0.00,539.76,334083.33,Essential
155,07/01/2023,Sports,false,1497626432427,0.00,3991.17,338074.50,Essential
156,07/01/2023,Automotive,false,1434735399158,0.00,4582.49,342656.99,Important
157,08/01/2023,Garden,false,1406827775679,0.00,2954.36,345611.35,Essential
158,08/01/2023,Outdoors,true,1184158518356,624.11,0.00,344987.24,Important
159,08/01/2023,Grocery,false,1668786032081,0.00,3792.10,348779.34,Non-Essential
160,08/01/2023,Health,true,1482036738178,3253.67,0.00,345525.67,Essential
